rank,personName,age,finalWorth,year,month,category,country,state,city,countryOfCitizenship,selfMade,gender,birthDate,title,philanthropyScore
1,Elon Musk,50,219000,2022,4,Automotive,United States,Texas,Austin,United States,TRUE,M,28-06-1971,CEO,1
2,Jeff Bezos,58,171000,2022,4,Technology,United States,Washington,Seattle,United States,TRUE,M,12-01-1964,Entrepreneur,1
3,Bernard Arnault & family,73,158000,2022,4,Fashion & Retail,France,,Paris,France,FALSE,M,05-03-1949,Chairman and CEO,
4,Bill Gates,66,129000,2022,4,Technology,United States,Washington,Medina,United States,TRUE,M,28-10-1955,Cofounder,4
5,Warren Buffett,91,118000,2022,4,Finance & Investments,United States,Nebraska,Omaha,United States,TRUE,M,30-08-1930,CEO,5
6,Larry Page,49,111000,2022,4,Technology,United States,California,Palo Alto,United States,TRUE,M,26-03-1973,Entrepreneur,1
7,Sergey Brin,48,107000,2022,4,Technology,United States,California,Los Altos,United States,TRUE,M,21-08-1973,Cofounder and board member,1
8,Larry Ellison,77,106000,2022,4,Technology,United States,Hawaii,Lanai,United States,TRUE,M,17-08-1944,CTO and Founder,1
9,Steve Ballmer,66,91400,2022,4,Technology,United States,Washington,Hunts Point,United States,TRUE,M,24-03-1956,Owner,2
10,Mukesh Ambani,64,90700,2022,4,Diversified,India,,Mumbai,India,FALSE,M,19-04-1957,Founder and Chairman,
11,Gautam Adani & family,59,90000,2022,4,Diversified,India,,Ahmedabad,India,TRUE,M,24-06-1962,,
12,Michael Bloomberg,80,82000,2022,4,Media & Entertainment,United States,New York,New York,United States,TRUE,M,14-02-1942,CEO,4
13,Carlos Slim Helu & family,82,81200,2022,4,Telecom,Mexico,,Mexico City,Mexico,TRUE,M,28-01-1940,Honorary Chairman,
14,Francoise Bettencourt Meyers & family,68,74800,2022,4,Fashion & Retail,France,,Paris,France,FALSE,F,10-07-1953,,
15,Mark Zuckerberg,37,67300,2022,4,Technology,United States,California,Palo Alto,United States,TRUE,M,14-05-1984,Cofounder,2
16,Jim Walton,73,66200,2022,4,Fashion & Retail,United States,Arkansas,Bentonville,United States,FALSE,M,07-06-1948,Chairman and CEO,1
17,Zhong Shanshan,67,65700,2022,4,Food & Beverage,China,,Hangzhou,China,TRUE,M,01-12-1954,,
18,Alice Walton,72,65300,2022,4,Fashion & Retail,United States,Texas,Fort Worth,United States,FALSE,F,07-10-1949,Philanthropist,2
19,Rob Walton,77,65000,2022,4,Fashion & Retail,United States,Arkansas,Bentonville,United States,FALSE,M,27-10-1944,Director,1
19,Changpeng Zhao,44,65000,2022,4,Finance & Investments,Singapore,,Singapore,Canada,TRUE,M,10-09-1977,,
21,Charles Koch,86,60000,2022,4,Diversified,United States,Kansas,Wichita,United States,FALSE,M,01-11-1935,CEO,2
21,Julia Koch & family,59,60000,2022,4,Diversified,United States,New York,New York,United States,FALSE,F,12-04-1962,,2
23,Amancio Ortega,86,59600,2022,4,Fashion & Retail,Spain,,La Coruna,Spain,TRUE,M,28-03-1936,,
24,Michael Dell,57,55100,2022,4,Technology,United States,Texas,Austin,United States,TRUE,M,23-02-1965,Chairman and CEO,2
25,Zhang Yiming,38,50000,2022,4,Media & Entertainment,China,,Beijing,China,TRUE,M,01-01-1984,Founder,
26,David Thomson & family,64,49200,2022,4,Media & Entertainment,Canada,,Toronto,Canada,FALSE,M,12-06-1957,Chairman,
27,Phil Knight & family,84,47300,2022,4,Fashion & Retail,United States,Oregon,Hillsboro,United States,TRUE,M,24-02-1938,Chairman,2
28,Dieter Schwarz,82,47100,2022,4,Fashion & Retail,Germany,,Neckarsulm,Germany,FALSE,M,24-09-1939,,
29,Robin Zeng,53,44800,2022,4,Automotive,China,,Ningde,Hong Kong,TRUE,M,01-01-1969,,
30,MacKenzie Scott,51,43600,2022,4,Technology,United States,Washington,Seattle,United States,FALSE,F,07-04-1970,Philanthropist,4
31,Rodolphe Saadé & family,52,41400,2022,4,Logistics,France,,Marseille,France,FALSE,M,03-03-1970,Chairman and CEO,
32,François Pinault & family,85,40400,2022,4,Fashion & Retail,France,,Paris,France,TRUE,M,21-08-1936,,
33,Klaus-Michael Kuehne,84,37300,2022,4,Logistics,Switzerland,,Schindellegi,Germany,FALSE,M,02-06-1937,,
34,Ma Huateng,50,37200,2022,4,Technology,China,,Shenzhen,China,TRUE,M,29-10-1971,Chairman and CEO,
35,Beate Heister & Karl Albrecht Jr. & family,,36800,2022,4,Fashion & Retail,Germany,,,Germany,FALSE,,,,
36,Giovanni Ferrero,57,36200,2022,4,Food & Beverage,Belgium,,Brussels,Italy,FALSE,M,21-09-1964,,
37,Li Ka-shing,93,34800,2022,4,Diversified,Hong Kong,,,Hong Kong,TRUE,M,13-06-1928,Senior Advisor,
37,Stephen Schwarzman,75,34800,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,14-02-1947,Chairman and CEO,2
39,Lee Shau Kee,94,32600,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,29-01-1928,,
40,Len Blavatnik,64,32500,2022,4,Diversified,United Kingdom,,London,United States,TRUE,M,01-06-1957,,2
41,Jacqueline Mars,82,31700,2022,4,Food & Beverage,United States,Virginia,The Plains,United States,FALSE,F,10-10-1939,,
41,John Mars,86,31700,2022,4,Food & Beverage,United States,Wyoming,Jackson,United States,FALSE,M,15-10-1935,,
43,Alain Wertheimer,73,31200,2022,4,Fashion & Retail,United States,New York,New York,France,FALSE,M,28-08-1948,,
43,Gerard Wertheimer,71,31200,2022,4,Fashion & Retail,United States,New York,New York,France,FALSE,M,09-01-1951,,
45,German Larrea Mota Velasco & family,68,30800,2022,4,Metals & Mining,Mexico,,Mexico City,Mexico,FALSE,M,26-10-1953,,
46,Gina Rinehart,68,30200,2022,4,Metals & Mining,Australia,,Perth,Australia,FALSE,F,09-02-1954,Executive Chairman,
47,Shiv Nadar,76,28700,2022,4,Technology,India,,Delhi,India,TRUE,M,18-07-1945,,
48,Jim Simons,83,28600,2022,4,Finance & Investments,United States,New York,East Setauket,United States,TRUE,M,25-04-1938,Founder,3
49,He Xiangjian,79,28300,2022,4,Manufacturing,China,,Foshan,China,TRUE,M,11-08-1942,,
50,Miriam Adelson,76,27500,2022,4,Gambling & Casinos,United States,Nevada,Las Vegas,United States,FALSE,F,10-10-1945,,2
51,Dietrich Mateschitz,77,27400,2022,4,Food & Beverage,Austria,,Fuschl am See,Austria,TRUE,M,20-05-1944,,
52,Leonardo Del Vecchio & family,86,27300,2022,4,Fashion & Retail,Italy,,Milan,Italy,TRUE,M,22-05-1935,,
53,Ken Griffin,53,27200,2022,4,Finance & Investments,United States,Illinois,Chicago,United States,TRUE,M,15-10-1968,Founder & CEO,3
54,Tadashi Yanai & family,73,26100,2022,4,Fashion & Retail,Japan,,Tokyo,Japan,TRUE,M,07-02-1949,,
55,William Lei Ding,50,25200,2022,4,Technology,China,,Hangzhou,China,TRUE,M,01-10-1971,,
56,Susanne Klatten,59,24300,2022,4,Automotive,Germany,,Bad Homburg,Germany,FALSE,F,28-04-1962,,
